task,upload,correct,new_upload,score,while,for,if,elif,else,return,break,continue,pass,assign,arith,comp,log,bit,iden,mem,#fun,#fcall,globals,#list,#tuple,cond,loop,#lst,#lines,avg_lines_per_func,#class,#var_uses,#con_uses,#var,#emptylines,#comments
ex2-first-negative.py,"#!usr/bin/python


r = []

i = 0
while i < len(a):
   if int(a[i]) < 0:
      r.append(a[i])
   i = i + 1

if len(r) >= 1:
   print r[0]
",True,"#!usr/bin/python


r = []

i = 0
while i < len(a):
   if int(a[i]) < 0:
      r.append(a[i])
   i = i + 1

if len(r) >= 1:
   print(r[0])
",10,1,0,2,0,0,0,0,0,0,4,2,3,0,0,0,0,0,0,2,1,0,2,1,1,13,0,0,13,5,3,4,0
ex2-first-negative.py,"i = 0
while i < len(a) and not a[i]<0:
   i = i + 1
if i < len(a):
   print a[i]
",True,"i = 0
while i < len(a) and not a[i]<0:
   i = i + 1
if i < len(a):
   print(a[i])
",10,1,0,1,0,0,0,0,0,0,2,1,3,2,0,0,0,0,0,1,0,0,1,1,0,5,0,0,11,3,2,0,0
ex2-first-negative.py,"#!/usr/bin/env python

i = 0

while i < len(a) and int(a[i]) >= 0:
   i = i + 1

if i < len(a):
   print a[i]
",True,"#!/usr/bin/env python

i = 0

while i < len(a) and int(a[i]) >= 0:
   i = i + 1

if i < len(a):
   print(a[i])
",10,1,0,1,0,0,0,0,0,0,3,2,3,1,0,0,0,0,0,1,0,0,1,1,0,9,0,0,11,3,2,3,0
ex2-first-negative.py,"a=[]

line=raw_input()
while line != ""end"":
   a.append(int(line))
   line=raw_input()

i=0
while i < len(a):
   if a[i]<0:
      print a[i]
      i= i+8
   else:
      i +=1
",True,"a=[]

line=input()
while line != ""end"":
   a.append(int(line))
   line=input()

i=0
while i < len(a):
   if a[i]<0:
      print(a[i])
      i= i+8
   else:
      i +=1
",10,2,0,1,0,1,0,0,0,0,7,2,3,0,0,0,0,0,0,3,1,0,2,2,1,14,0,0,16,5,3,2,0
ex2-first-negative.py,"
i = 0
while i < len(a) and not a[i] < 0:
	i += 1

if i < len(a):
	print a[i]
",True,"
i = 0
while i < len(a) and not a[i] < 0:
	i += 1

if i < len(a):
	print(a[i])
",10,1,0,1,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,1,0,0,1,1,0,7,0,0,10,3,2,2,0
ex2-first-negative.py,"i = 0

while i < len(a) and a[i] >= 0:
   i = i + 1

if i < len(a):
   print a[i]
",True,"i = 0

while i < len(a) and a[i] >= 0:
   i = i + 1

if i < len(a):
   print(a[i])
",10,1,0,1,0,0,0,0,0,0,3,1,3,1,0,0,0,0,0,1,0,0,1,1,0,7,0,0,11,3,2,2,0
ex2-first-negative.py,"i = 0
while i < len(a) and a[i] >= 0:
    i = i + 1

if i < len(a):
    print a[i]
",True,"i = 0
while i < len(a) and a[i] >= 0:
    i = i + 1

if i < len(a):
    print(a[i])
",10,1,0,1,0,0,0,0,0,0,3,1,3,1,0,0,0,0,0,1,0,0,1,1,0,6,0,0,11,3,2,1,0
ex2-first-negative.py,"a = []

line = raw_input()
while line != ""end"":
  a.append(int(line))
  line = raw_input()

i = 0
while i < len(a):
  if a[i] < 0:
   negative = i
   print a[negative]
   break
  i += 1
  
",True,"a = []

line = input()
while line != ""end"":
  a.append(int(line))
  line = input()

i = 0
while i < len(a):
  if a[i] < 0:
   negative = i
   print(a[negative])
   break
  i += 1
  
",10,2,0,1,0,0,0,1,0,0,7,2,3,0,0,0,0,0,0,3,1,0,1,2,1,15,0,0,16,4,4,2,0
ex2-first-negative.py,"i = 0
while i < len(a) and not a[i] < 0:
	i += 1

if i < len(a):
	print a[i]
",True,"i = 0
while i < len(a) and not a[i] < 0:
	i += 1

if i < len(a):
	print(a[i])
",10,1,0,1,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,1,0,0,1,1,0,6,0,0,10,3,2,1,0
ex2-first-negative.py,"
i = 0
while i < len(a) and not a[i] < 0:
	i += 1

if i < len(a):
	print a[i]
",True,"
i = 0
while i < len(a) and not a[i] < 0:
	i += 1

if i < len(a):
	print(a[i])
",10,1,0,1,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,1,0,0,1,1,0,7,0,0,10,3,2,2,0
ex2-first-negative.py,"i = 0
while i < len(a) and not a[i]<0:
   i = i + 1
if i < len(a):
   print a[i]
",True,"i = 0
while i < len(a) and not a[i]<0:
   i = i + 1
if i < len(a):
   print(a[i])
",10,1,0,1,0,0,0,0,0,0,2,1,3,2,0,0,0,0,0,1,0,0,1,1,0,5,0,0,11,3,2,0,0
ex2-first-negative.py,"i = 0
while i < len(a):
	if a[i] < 0:
		print a[i]
		i = len(a)
	i = i + 1
",True,"i = 0
while i < len(a):
	if a[i] < 0:
		print(a[i])
		i = len(a)
	i = i + 1
",10,1,0,1,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,1,0,0,1,1,0,6,0,0,11,3,2,0,0
ex2-first-negative.py,"i = 0
while i < len(a) and -1 < int(a[i]):
   i = i + 1


if i < len(a):
   print a[i]
",True,"i = 0
while i < len(a) and -1 < int(a[i]):
   i = i + 1


if i < len(a):
   print(a[i])
",10,1,0,1,0,0,0,0,0,0,2,2,3,1,0,0,0,0,0,1,0,0,1,1,0,7,0,0,11,3,2,2,0
ex2-first-negative.py,"lst = []
line = raw_input()
while line != ""end"":
   lst.append(int(line))
   line = raw_input()

lst2 = []
i = 0
while i < len(lst):
   if lst[i] < 0:
      lst2.append(lst[i])
   i = i + 1

i = 0
while i < len(lst2):
   print lst2[i]
   i = 1
   if i == 1:
      i = len(lst2) + 1 
",True,"lst = []
line = input()
while line != ""end"":
   lst.append(int(line))
   line = input()

lst2 = []
i = 0
while i < len(lst):
   if lst[i] < 0:
      lst2.append(lst[i])
   i = i + 1

i = 0
while i < len(lst2):
   print(lst2[i])
   i = 1
   if i == 1:
      i = len(lst2) + 1 
",10,3,0,2,0,0,0,0,0,0,11,2,5,0,0,0,0,0,0,5,2,0,2,3,2,19,0,0,26,8,4,2,0
ex2-first-negative.py,"i=0
while i<len(a) and a[i]>=0:
	i=i+1
if i<len(a):
	print a[i]
",True,"i=0
while i<len(a) and a[i]>=0:
	i=i+1
if i<len(a):
	print(a[i])
",10,1,0,1,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,1,0,0,1,1,0,5,0,0,11,3,2,0,0
ex2-first-negative.py,"n = raw_input()

a = []

while n != ""end"":
  a.append(int(n))
  n = raw_input()

i = 0

while i < len(a) and a[i] == abs(a[i]):
    i += 1

if i < len(a):
  print a[i]
",True,"n = input()

a = []

while n != ""end"":
  a.append(int(n))
  n = input()

i = 0

while i < len(a) and a[i] == abs(a[i]):
    i += 1

if i < len(a):
  print(a[i])
",10,2,0,1,0,0,0,0,0,0,7,2,4,1,0,0,0,0,0,3,1,0,1,2,1,15,0,0,18,3,3,5,0
