task,upload,correct,new_upload,score,while,for,if,elif,else,return,break,continue,pass,assign,arith,comp,log,bit,iden,mem,#fun,#fcall,globals,#list,#tuple,cond,loop,#lst,#lines,avg_lines_per_func,#class,#var_uses,#con_uses,#var,#emptylines,#comments
02largest.py,"vals = raw_input(""Enter a list of numbers:\n"").split()

position = 0
largest = int(vals[0])
i = 0
while i < len(vals):
   if int(vals[i]) > largest:
      largest = int(vals[i])
      position = i
   i = i + 1
print largest, ""@"", position + 1
 ",True,"vals = input(""Enter a list of numbers:\n"").split()

position = 0
largest = int(vals[0])
i = 0
while i < len(vals):
   if int(vals[i]) > largest:
      largest = int(vals[i])
      position = i
   i = i + 1
print(largest, ""@"", position + 1)
 ",10,1,0,1,0,0,0,0,0,0,7,2,2,0,0,0,0,0,0,4,0,0,1,1,0,12,0,0,19,7,4,1,0
02largest.py,"vals = raw_input(""Enter a list of numbers:\n"").split()

position = 0
largest = int(vals[0])
i = 0
while i < len(vals):
	if int(vals[i]) > largest:
		largest = int(vals[i])
		position = i
	i = i + 1

print largest, ""@"", position + 1
",True,"vals = input(""Enter a list of numbers:\n"").split()

position = 0
largest = int(vals[0])
i = 0
while i < len(vals):
	if int(vals[i]) > largest:
		largest = int(vals[i])
		position = i
	i = i + 1

print(largest, ""@"", position + 1)
",10,1,0,1,0,0,0,0,0,0,7,2,2,0,0,0,0,0,0,4,0,0,1,1,0,12,0,0,19,7,4,2,0
02largest.py,"#!/usr/bin/env python

values = raw_input(""Enter a list of numbers:\n"").split()

l = []

for number in values:
   l.append(int(number))

i = 0
largest = l[0]
largest_position = 1

while i < len(l):
   if l[i] > largest:
      largest_position = i + 1
      largest = l[i]
   i = i + 1

print largest, ""@"", largest_position
",True,"#!/usr/bin/env python

values = input(""Enter a list of numbers:\n"").split()

l = []

for number in values:
   l.append(int(number))

i = 0
largest = l[0]
largest_position = 1

while i < len(l):
   if l[i] > largest:
      largest_position = i + 1
      largest = l[i]
   i = i + 1

print(largest, ""@"", largest_position)
",9,1,1,1,0,0,0,0,0,0,8,3,2,0,0,0,1,0,0,5,1,0,1,2,1,20,0,0,24,7,6,6,0
02largest.py,"vals = raw_input(""Enter a list of numbers:\n"").split()

m = -1000000000
i = 0
j = 0

while i < len(vals):
   if int(m) < int(vals[i]):
      m = vals[i]
      j = i + 1
   i =  i + 1
print m,""@"", j
",True,"vals = input(""Enter a list of numbers:\n"").split()

m = -1000000000
i = 0
j = 0

while i < len(vals):
   if int(m) < int(vals[i]):
      m = vals[i]
      j = i + 1
   i =  i + 1
print(m,""@"", j)
",9,1,0,1,0,0,0,0,0,0,7,3,2,0,0,0,0,0,0,4,0,0,1,1,0,12,0,0,18,7,4,2,0
02largest.py,"vals = raw_input(""Enter a list of numbers:\n"").split()

i=0
largest=vals[i]
largest_str=str(vals[i])+ "" @ ""+ str(i+1)
while i!=len(vals):
   if vals[i]<largest:
      largest=vals[i]
      largest_str=str(vals[i])+ "" @ ""+ str(i+1)
   i=i+1
print largest_str
",True,"vals = input(""Enter a list of numbers:\n"").split()

i=0
largest=vals[i]
largest_str=str(vals[i])+ "" @ ""+ str(i+1)
while i!=len(vals):
   if vals[i]<largest:
      largest=vals[i]
      largest_str=str(vals[i])+ "" @ ""+ str(i+1)
   i=i+1
print(largest_str)
",8,1,0,1,0,0,0,0,0,0,4,7,2,0,0,0,0,0,0,4,0,0,1,1,0,11,0,0,24,7,4,1,0
02largest.py,"vals = raw_input(""Enter a list of numbers:\n"").split()

m = -2000
i = 0
j = 0

while i < len(vals):
   if int(m) < int(vals[i]):
      m = vals[i]
      j = i + 1
   i =  i + 1
print m,""@"", j
",True,"vals = input(""Enter a list of numbers:\n"").split()

m = -2000
i = 0
j = 0

while i < len(vals):
   if int(m) < int(vals[i]):
      m = vals[i]
      j = i + 1
   i =  i + 1
print(m,""@"", j)
",9,1,0,1,0,0,0,0,0,0,7,3,2,0,0,0,0,0,0,4,0,0,1,1,0,12,0,0,18,7,4,2,0
02largest.py,"raw_values = raw_input(""Enter a list of numbers:\n"")

values = raw_values.split()

largest = int(values[0])
largest_i = 0

i = 1
while i < len(values):
   value = int(values[i])
   if value > largest:
      largest = value
      largest_i = i
   i = i + 1
print largest,""@"", largest_i + 1
",True,"raw_values = input(""Enter a list of numbers:\n"")

values = raw_values.split()

largest = int(values[0])
largest_i = 0

i = 1
while i < len(values):
   value = int(values[i])
   if value > largest:
      largest = value
      largest_i = i
   i = i + 1
print(largest,""@"", largest_i + 1)
",9,1,0,1,0,0,0,0,0,0,9,2,2,0,0,0,0,0,0,5,0,0,1,1,0,15,0,0,22,7,6,3,0
02largest.py,"#!/usr/bin/env python

values = raw_input(""Enter a list of numbers:\n"").split()

l = []

for number in values:
   l.append(int(number))

i = 0
largest = l[0]
largest_position = 1

while i < len(l):
   if l[i] > largest:
      largest_position = i + 1
      largest = l[i]
   i = i + 1

print largest, ""@"", largest_position
",True,"#!/usr/bin/env python

values = input(""Enter a list of numbers:\n"").split()

l = []

for number in values:
   l.append(int(number))

i = 0
largest = l[0]
largest_position = 1

while i < len(l):
   if l[i] > largest:
      largest_position = i + 1
      largest = l[i]
   i = i + 1

print(largest, ""@"", largest_position)
",9,1,1,1,0,0,0,0,0,0,8,3,2,0,0,0,1,0,0,5,1,0,1,2,1,20,0,0,24,7,6,6,0
02largest.py,"vals = raw_input(""Enter a list of numbers:\n"").split()
i = 0
longest = vals[0]
p = 1

while i < len(vals):
  if int(vals[i]) > int(longest):
    longest = vals[i]
    p = p + 1
  i = i + 1
print str(longest) + ' @ ' + str(p)
",True,"vals = input(""Enter a list of numbers:\n"").split()
i = 0
longest = vals[0]
p = 1

while i < len(vals):
  if int(vals[i]) > int(longest):
    longest = vals[i]
    p = p + 1
  i = i + 1
print(str(longest) + ' @ ' + str(p))
",10,1,0,1,0,0,0,0,0,0,7,4,2,0,0,0,0,0,0,4,0,0,1,1,0,11,0,0,19,7,4,1,0
02largest.py,"vals = raw_input(""Enter a list of numbers:\n"").split()
i = 0
maxi= vals[0]
index = 1
while i < len(vals):
	if int(maxi) < int(vals[i]):
		maxi = vals[i]
		index = i + 1
	i = i + 1
print maxi,""@"",index
",True,"vals = input(""Enter a list of numbers:\n"").split()
i = 0
maxi= vals[0]
index = 1
while i < len(vals):
	if int(maxi) < int(vals[i]):
		maxi = vals[i]
		index = i + 1
	i = i + 1
print(maxi,""@"",index)
",10,1,0,1,0,0,0,0,0,0,7,2,2,0,0,0,0,0,0,4,0,0,1,1,0,10,0,0,19,7,4,0,0
02largest.py,"my_list = raw_input(""Enter a list of numbers:\n"").split("" "")

i = 0
largest = int(my_list[i])
position = i
while i < len(my_list):
	if largest < int(my_list[i]):
		largest = int(my_list[i])

		position = i  
	i = i + 1
print largest, ""@"", position+1
",True,"my_list = input(""Enter a list of numbers:\n"").split("" "")

i = 0
largest = int(my_list[i])
position = i
while i < len(my_list):
	if largest < int(my_list[i]):
		largest = int(my_list[i])

		position = i  
	i = i + 1
print(largest, ""@"", position+1)
",10,1,0,1,0,0,0,0,0,0,7,2,2,0,0,0,0,0,0,4,0,0,1,1,0,12,0,0,21,6,4,2,0
