task,upload,correct,new_upload,score,while,for,if,elif,else,return,break,continue,pass,assign,arith,comp,log,bit,iden,mem,#fun,#fcall,globals,#list,#tuple,cond,loop,#lst,#lines,avg_lines_per_func,#class,#var_uses,#con_uses,#var,#emptylines,#comments
selection_sort.py,"def swap(a, i, j):
   temp = a[i]
   a[i] = a[j]
   a[j] = temp

def find_position_of_smallest(a, i):
   p = i
   while i < len(a):
      if a[i] < a[p]:
         p = i
      i = i + 1
   return p

def sort(a):
   j = 0
   while j < len(a):
       p = find_position_of_smallest(a,j)
       swap(a,j,p)
       j = j + 1
",True,"def swap(a, i, j):
   temp = a[i]
   a[i] = a[j]
   a[j] = temp

def find_position_of_smallest(a, i):
   p = i
   while i < len(a):
      if a[i] < a[p]:
         p = i
      i = i + 1
   return p

def sort(a):
   j = 0
   while j < len(a):
       p = find_position_of_smallest(a,j)
       swap(a,j,p)
       j = j + 1
",10,2,0,1,0,0,1,0,0,0,9,2,3,0,0,0,0,3,2,0,0,0,1,2,0,19,5.66666666666667,0,34,3,5,2,0
selection_sort.py,"def swap(a,i,j):
   tmp = a[i]
   a[i] = a[j]
   a[j] = tmp

def find_position_of_smallest(a,i):
	p = i
	while i < len(a):
		if a[i] < a[p]:
			p = i
		i = i + 1
	return p

def sort(a):
	i = 0
	while i <len(a):
		p = i
		j = i + 1
		while j < len(a):
			if a[j] < a[p]:
				p = j
			j = j + 1

		tmp = a[p]
		a[p] = a[i]
		a[i] = tmp

		i = i + 1",True,"def swap(a,i,j):
   tmp = a[i]
   a[i] = a[j]
   a[j] = tmp

def find_position_of_smallest(a,i):
	p = i
	while i < len(a):
		if a[i] < a[p]:
			p = i
		i = i + 1
	return p

def sort(a):
	i = 0
	while i <len(a):
		p = i
		j = i + 1
		while j < len(a):
			if a[j] < a[p]:
				p = j
			j = j + 1

		tmp = a[p]
		a[p] = a[i]
		a[i] = tmp

		i = i + 1",8,3,0,2,0,0,1,0,0,0,15,4,5,0,0,0,0,3,0,0,0,0,2,3,0,28,8.66666666666667,0,52,5,5,4,0
selection_sort.py,"def swap(a, i , j):
   tmp = a[i]
   a[i] = a[j]
   a[j] = tmp

def find_position_of_smallest(a,i):
   p = i
   while i < len(a):
      if a[i] < a[p]:
         p = i
      i = i + 1
   return p

def sort(a):
   i = 0
   while i < len(a):
      p = find_position_of_smallest(a, i)
      swap(a, i, p)
      i = i + 1
",True,"def swap(a, i , j):
   tmp = a[i]
   a[i] = a[j]
   a[j] = tmp

def find_position_of_smallest(a,i):
   p = i
   while i < len(a):
      if a[i] < a[p]:
         p = i
      i = i + 1
   return p

def sort(a):
   i = 0
   while i < len(a):
      p = find_position_of_smallest(a, i)
      swap(a, i, p)
      i = i + 1
",10,2,0,1,0,0,1,0,0,0,9,2,3,0,0,0,0,3,2,0,0,0,1,2,0,19,5.66666666666667,0,34,3,5,2,0
selection_sort.py,"def swap(a, i, j):
  tmp = a[i]
  a[i] = a[j]
  a[j] = tmp

def find_position_of_smallest(a,i):
  j = i
  while i < len(a):
    if a[i] < a[j]:
      j = i
    i = i + 1
  return j

def sort(a):
  i = 0
  while i < len(a):
    k = find_position_of_smallest(a, i)
    swap (a, i, k)
    i = i + 1
",True,"def swap(a, i, j):
  tmp = a[i]
  a[i] = a[j]
  a[j] = tmp

def find_position_of_smallest(a,i):
  j = i
  while i < len(a):
    if a[i] < a[j]:
      j = i
    i = i + 1
  return j

def sort(a):
  i = 0
  while i < len(a):
    k = find_position_of_smallest(a, i)
    swap (a, i, k)
    i = i + 1
",10,2,0,1,0,0,1,0,0,0,9,2,3,0,0,0,0,3,2,0,0,0,1,2,0,19,5.66666666666667,0,34,3,5,2,0
selection_sort.py,"def swap(a, i, j):
  tmp = a[i]
  a[i] = a[j]
  a[j] = tmp

def find_position_of_smallest(a,i):
  j = i
  while i < len(a):
    if a[i] < a[j]:
      j = i
    i = i + 1
  return j

def sort(a):
  i = 0
  while i < len(a):
    k = find_position_of_smallest(a, i)
    swap (a, i, k)
    i = i + 1
",True,"def swap(a, i, j):
  tmp = a[i]
  a[i] = a[j]
  a[j] = tmp

def find_position_of_smallest(a,i):
  j = i
  while i < len(a):
    if a[i] < a[j]:
      j = i
    i = i + 1
  return j

def sort(a):
  i = 0
  while i < len(a):
    k = find_position_of_smallest(a, i)
    swap (a, i, k)
    i = i + 1
",10,2,0,1,0,0,1,0,0,0,9,2,3,0,0,0,0,3,2,0,0,0,1,2,0,19,5.66666666666667,0,34,3,5,2,0
selection_sort.py,"def swap(a, i, j):
   tmp = a[i]
   a[i]= a[j]
   a[j]= tmp

def find_position_of_smallest(a, i):
   j = i
   while i < len(a):
      if a[i] < a[j]:
         j = i
      i = i + 1
   return j

def sort(a):
   i = 0
   while i < len(a):
      k = find_position_of_smallest(a, i)
      swap(a, i, k)
      i = i + 1
",True,"def swap(a, i, j):
   tmp = a[i]
   a[i]= a[j]
   a[j]= tmp

def find_position_of_smallest(a, i):
   j = i
   while i < len(a):
      if a[i] < a[j]:
         j = i
      i = i + 1
   return j

def sort(a):
   i = 0
   while i < len(a):
      k = find_position_of_smallest(a, i)
      swap(a, i, k)
      i = i + 1
",10,2,0,1,0,0,1,0,0,0,9,2,3,0,0,0,0,3,2,0,0,0,1,2,0,19,5.66666666666667,0,34,3,5,2,0
selection_sort.py,"def swap(a, i, j):
   tmp = a[i]
   a[i] = a[j]
   a[j] = tmp

def find_position_of_smallest(a, i):
   smallest = i
   while i < len(a):
      if a[i] < a[smallest]:
         smallest = i
      i = i + 1
   return smallest

def sort(a):
   i = 0
   while i < len(a):
      p = find_position_of_smallest(a, i)
      swap(a, i, p)
      i = i + 1
",True,"def swap(a, i, j):
   tmp = a[i]
   a[i] = a[j]
   a[j] = tmp

def find_position_of_smallest(a, i):
   smallest = i
   while i < len(a):
      if a[i] < a[smallest]:
         smallest = i
      i = i + 1
   return smallest

def sort(a):
   i = 0
   while i < len(a):
      p = find_position_of_smallest(a, i)
      swap(a, i, p)
      i = i + 1
",10,2,0,1,0,0,1,0,0,0,9,2,3,0,0,0,0,3,2,0,0,0,1,2,0,19,5.66666666666667,0,34,3,6,2,0
selection_sort.py,"def swap(a, i, j):
   tmp = a[i]
   a[i] = a[j]
   a[j] = tmp

def find_position_of_smallest(a,i):
   p = i
   while i < len(a):
      if a[i] < a[p]:
         p = i
      i = i + 1
   return p

def sort(a):
   i = 0
   while i < len(a):
      p = i
      j = i + 1
      while j < len(a):
         if a[j] < a[p]:
            p = j
         j = j + 1
      tmp = a[p]
      a[p] = a[i]
      a[i] = tmp
      i = i + 1

",True,"def swap(a, i, j):
   tmp = a[i]
   a[i] = a[j]
   a[j] = tmp

def find_position_of_smallest(a,i):
   p = i
   while i < len(a):
      if a[i] < a[p]:
         p = i
      i = i + 1
   return p

def sort(a):
   i = 0
   while i < len(a):
      p = i
      j = i + 1
      while j < len(a):
         if a[j] < a[p]:
            p = j
         j = j + 1
      tmp = a[p]
      a[p] = a[i]
      a[i] = tmp
      i = i + 1

",8,3,0,2,0,0,1,0,0,0,15,4,5,0,0,0,0,3,0,0,0,0,2,3,0,27,8,0,52,5,5,3,0
selection_sort.py,"a = [1, 2, 3, 4]
def swap(a,i,j):
	temp = a[i]
	a[i] = a[j]
	a[j] = temp

def find_position_of_smallest(a,i):
	p = i
	j = i
	while j < len(a):
		if a[j] < a[p]:
			p = j
		j = j + 1
	return p
def sort(a):
	i = 0
	while i < len(a):
		p = find_position_of_smallest(a, i)
		swap(a, p, i)
		i = i + 1



",True,"a = [1, 2, 3, 4]
def swap(a,i,j):
	temp = a[i]
	a[i] = a[j]
	a[j] = temp

def find_position_of_smallest(a,i):
	p = i
	j = i
	while j < len(a):
		if a[j] < a[p]:
			p = j
		j = j + 1
	return p
def sort(a):
	i = 0
	while i < len(a):
		p = find_position_of_smallest(a, i)
		swap(a, p, i)
		i = i + 1



",9,2,0,1,0,0,1,0,0,0,11,2,3,0,0,0,0,3,2,1,1,0,1,2,1,23,6,0,37,7,5,4,0
selection_sort.py,"def swap(a,i,j):
    tmp = a[i]
    a[i] = a[j]
    a[j] = tmp
    
def find_position_of_smallest(a,i):
    p = i
    while i < len(a):
        if a[i] < a[p]:
            p = i
        i = i + 1
    return p

def sort(a):
    j = 0
    while j < len(a):
        p = find_position_of_smallest(a,j)
        swap(a, j, p)
        j = j + 1",True,"def swap(a,i,j):
    tmp = a[i]
    a[i] = a[j]
    a[j] = tmp
    
def find_position_of_smallest(a,i):
    p = i
    while i < len(a):
        if a[i] < a[p]:
            p = i
        i = i + 1
    return p

def sort(a):
    j = 0
    while j < len(a):
        p = find_position_of_smallest(a,j)
        swap(a, j, p)
        j = j + 1",10,2,0,1,0,0,1,0,0,0,9,2,3,0,0,0,0,3,2,0,0,0,1,2,0,19,5.66666666666667,0,34,3,5,1,0
selection_sort.py,"#attempt #1(too complicated)
#def swap(a,i,j):
#   track=0
#   templist=[]
#   while track!=len(a):
#      if track == i:
#         templist.append(a[j])
#      elif track == j:
#         templist.append(a[i])
#      else:
#         templist.append(a[track])
#      track=track+1
#   a=templist
#   return a
#<><><><><><><>

#Swap()
def swap(a,i,j):
    temp=a[i]
    a[i]=a[j]
    a[j]=temp

#find_position_of_smallest()
def find_position_of_smallest(a,i):
   tempnum=i
   while i!=len(a):
      if a[i] < a[tempnum]:
         tempnum=i
      i=i+1
   return tempnum

#sort()
def sort(a):
   i=0
   j=0
   while i !=len(a):
      j=find_position_of_smallest(a,i)
      swap(a,i,j)
      i=i+1


",True,"#attempt #1(too complicated)
#def swap(a,i,j):
#   track=0
#   templist=[]
#   while track!=len(a):
#      if track == i:
#         templist.append(a[j])
#      elif track == j:
#         templist.append(a[i])
#      else:
#         templist.append(a[track])
#      track=track+1
#   a=templist
#   return a
#<><><><><><><>

#Swap()
def swap(a,i,j):
    temp=a[i]
    a[i]=a[j]
    a[j]=temp

#find_position_of_smallest()
def find_position_of_smallest(a,i):
   tempnum=i
   while i!=len(a):
      if a[i] < a[tempnum]:
         tempnum=i
      i=i+1
   return tempnum

#sort()
def sort(a):
   i=0
   j=0
   while i !=len(a):
      j=find_position_of_smallest(a,i)
      swap(a,i,j)
      i=i+1


",9,3,0,2,1,1,2,0,0,0,13,3,7,0,0,0,0,3,2,0,0,0,4,3,0,41,6,0,35,4,5,5,18
selection_sort.py,"
def swap (a,i,j):
  tmp= a[i]
  a[i] = a[j]
  a[j] = tmp

def find_position_of_smallest(a,i):
  p = i
  j = i + 1
  while j < len(a):
    if a[j] < a[p]:
      p = j 
    j = j + 1
  return p 

def sort(a):
  i = 0
  while i < len(a):
    p = find_position_of_smallest(a,i)
    swap(a,p,i)
    i = i + 1


",True,"
def swap (a,i,j):
  tmp= a[i]
  a[i] = a[j]
  a[j] = tmp

def find_position_of_smallest(a,i):
  p = i
  j = i + 1
  while j < len(a):
    if a[j] < a[p]:
      p = j 
    j = j + 1
  return p 

def sort(a):
  i = 0
  while i < len(a):
    p = find_position_of_smallest(a,i)
    swap(a,p,i)
    i = i + 1


",10,2,0,1,0,0,1,0,0,0,10,3,3,0,0,0,0,3,2,0,0,0,1,2,0,23,6,0,36,4,5,5,0
selection_sort.py,"

def swap(a,i,j):
  tmp = a[j]
  a[j] = a[i]
  a[i] = tmp

def find_position_of_smallest(a,i):
  p = i
  while i < len(a):
    if a[i] < a[p]:
      p = i 
    i = i + 1
  return p

def sort(a):

  i = 0
  while i < len(a):
    p = i 
    j = i + 1
    while j < len(a):
     if a[j] < a[p]:
       p = j
     j = j + 1
  
    tmp = a[p]
    a[p] = a[i]
    a[i] = tmp

    i = i + 1

    
",True,"

def swap(a,i,j):
  tmp = a[j]
  a[j] = a[i]
  a[i] = tmp

def find_position_of_smallest(a,i):
  p = i
  while i < len(a):
    if a[i] < a[p]:
      p = i 
    i = i + 1
  return p

def sort(a):

  i = 0
  while i < len(a):
    p = i 
    j = i + 1
    while j < len(a):
     if a[j] < a[p]:
       p = j
     j = j + 1
  
    tmp = a[p]
    a[p] = a[i]
    a[i] = tmp

    i = i + 1

    
",8,3,0,2,0,0,1,0,0,0,15,4,5,0,0,0,0,3,0,0,0,0,2,3,0,33,9,0,52,5,5,7,0
selection_sort.py,"def swap (a, i, j):
	tmp = a[j]
	a[j] = a[i]
	a[i] = tmp

def find_position_of_smallest(a,i):
	p = i
	while i < len(a):
		if a[i] < a[p]:
			p = i
		i = i + 1
	return p

def sort(a):
	i = 0
	while i < len(a):
		p = find_position_of_smallest(a, i)
		swap(a, i, p)
		i = i + 1",True,"def swap (a, i, j):
	tmp = a[j]
	a[j] = a[i]
	a[i] = tmp

def find_position_of_smallest(a,i):
	p = i
	while i < len(a):
		if a[i] < a[p]:
			p = i
		i = i + 1
	return p

def sort(a):
	i = 0
	while i < len(a):
		p = find_position_of_smallest(a, i)
		swap(a, i, p)
		i = i + 1",10,2,0,1,0,0,1,0,0,0,9,2,3,0,0,0,0,3,2,0,0,0,1,2,0,19,5.66666666666667,0,34,3,5,2,0
selection_sort.py,"
def swap (a,i,j):
  tmp= a[i]
  a[i] = a[j]
  a[j] = tmp

def find_position_of_smallest(a,i):
  p = i
  j = i + 1
  while j < len(a):
    if a[j] < a[p]:
      p = j 
    j = j + 1
  return p 

def sort(a):
  i = 0
  while i < len(a):
    p = find_position_of_smallest(a,i)
    swap(a,p,i)
    i = i + 1


",True,"
def swap (a,i,j):
  tmp= a[i]
  a[i] = a[j]
  a[j] = tmp

def find_position_of_smallest(a,i):
  p = i
  j = i + 1
  while j < len(a):
    if a[j] < a[p]:
      p = j 
    j = j + 1
  return p 

def sort(a):
  i = 0
  while i < len(a):
    p = find_position_of_smallest(a,i)
    swap(a,p,i)
    i = i + 1


",10,2,0,1,0,0,1,0,0,0,10,3,3,0,0,0,0,3,2,0,0,0,1,2,0,23,6,0,36,4,5,5,0
selection_sort.py,"def swap (a,i,j):
   tmp = a[i]
   a[i] = a[j]
   a[j] = tmp 

def find_position_of_smallest(a,i):
   p = i
   i = i + 1
   while i < len(a):
      if a[i] < a[p]:
         p = i
      i = i + 1
   return p

def sort(a):
   i = 0
   while i < len(a):
      p = find_position_of_smallest(a,i)
      swap(a, i, p)
      i = i + 1


",True,"def swap (a,i,j):
   tmp = a[i]
   a[i] = a[j]
   a[j] = tmp 

def find_position_of_smallest(a,i):
   p = i
   i = i + 1
   while i < len(a):
      if a[i] < a[p]:
         p = i
      i = i + 1
   return p

def sort(a):
   i = 0
   while i < len(a):
      p = find_position_of_smallest(a,i)
      swap(a, i, p)
      i = i + 1


",10,2,0,1,0,0,1,0,0,0,10,3,3,0,0,0,0,3,2,0,0,0,1,2,0,22,6,0,36,4,5,4,0
selection_sort.py,"
def swap (a,i,j):
  tmp= a[i]
  a[i] = a[j]
  a[j] = tmp

def find_position_of_smallest(a,i):
  p = i
  j = i + 1
  while j < len(a):
    if a[j] < a[p]:
      p = j 
    j = j + 1
  return p 

def sort(a):
  i = 0
  while i < len(a):
    p = find_position_of_smallest(a,i)
    swap(a,p,i)
    i = i + 1

",True,"
def swap (a,i,j):
  tmp= a[i]
  a[i] = a[j]
  a[j] = tmp

def find_position_of_smallest(a,i):
  p = i
  j = i + 1
  while j < len(a):
    if a[j] < a[p]:
      p = j 
    j = j + 1
  return p 

def sort(a):
  i = 0
  while i < len(a):
    p = find_position_of_smallest(a,i)
    swap(a,p,i)
    i = i + 1

",10,2,0,1,0,0,1,0,0,0,10,3,3,0,0,0,0,3,2,0,0,0,1,2,0,22,6,0,36,4,5,4,0
selection_sort.py,"def swap(a, i, j):
   tmp = a[i]
   a[i] = a[j] 
   a[j] = tmp
   
def find_position_of_smallest(a,i):
   p = i
   j = i + 1
   while j < len(a):
      if a[j] < a[p]:
         p = j
      j = j + 1
   return p

def sort(a):
   i = 0 
   while i < len(a):
      p = find_position_of_smallest(a,i)
      swap(a,i,p)
      i += 1

   
",True,"def swap(a, i, j):
   tmp = a[i]
   a[i] = a[j] 
   a[j] = tmp
   
def find_position_of_smallest(a,i):
   p = i
   j = i + 1
   while j < len(a):
      if a[j] < a[p]:
         p = j
      j = j + 1
   return p

def sort(a):
   i = 0 
   while i < len(a):
      p = find_position_of_smallest(a,i)
      swap(a,i,p)
      i += 1

   
",10,2,0,1,0,0,1,0,0,0,10,4,3,0,0,0,0,3,2,0,0,0,1,2,0,22,6,0,35,4,5,2,0
