task,upload,correct,new_upload,score,while,for,if,elif,else,return,break,continue,pass,assign,arith,comp,log,bit,iden,mem,#fun,#fcall,globals,#list,#tuple,cond,loop,#lst,#lines,avg_lines_per_func,#class,#var_uses,#con_uses,#var,#emptylines,#comments
unique_count_021.py,"import sys

def main():
    unique = []
    for line in sys.stdin:
        line = line.lower().split()
        for word in line:
             word = replace_punc(word)
             if word not in unique and word:
                 unique.append(word)
    print(count(unique))

def count(tokens):
    count = len(tokens)
    return count

def replace_punc(word):
    for ch in word:
        if not ch.isalnum():
            word = word.replace(ch, """")
    return word

if __name__ == ""__main__"":
    main()
",True,"import sys

def main():
    unique = []
    for line in sys.stdin:
        line = line.lower().split()
        for word in line:
             word = replace_punc(word)
             if word not in unique and word:
                 unique.append(word)
    print((count(unique)))

def count(tokens):
    count = len(tokens)
    return count

def replace_punc(word):
    for ch in word:
        if not ch.isalnum():
            word = word.replace(ch, """")
    return word

if __name__ == ""__main__"":
    main()
",10,0,3,3,0,0,2,0,0,0,6,0,1,2,0,0,4,3,3,0,1,0,3,3,1,24,5.666666666666668,0,24,2,7,4,0
unique_count_021.py,"#!/usr/bin/env python

import sys
import string

def removepunctuation(s):
	stripped_word = """"
	for c in s:
		if c not in string.punctuation:
			stripped_word += c
	if stripped_word:
		return stripped_word.lower()

def unique_count():
	total = 0
	unique_words = []
	for line in sys.stdin:
		line = line.split()
		for word in line:
			word = removepunctuation(word)
			if word not in unique_words and word:
				unique_words.append(word)
	total += len(unique_words)
	print(total)

if __name__ == ""__main__"":
	unique_count()
",True,"#!/usr/bin/env python

import sys
import string

def removepunctuation(s):
	stripped_word = """"
	for c in s:
		if c not in string.punctuation:
			stripped_word += c
	if stripped_word:
		return stripped_word.lower()

def unique_count():
	total = 0
	unique_words = []
	for line in sys.stdin:
		line = line.split()
		for word in line:
			word = removepunctuation(word)
			if word not in unique_words and word:
				unique_words.append(word)
	total += len(unique_words)
	print(total)

if __name__ == ""__main__"":
	unique_count()
",10,0,3,4,0,0,1,0,0,0,8,5,1,1,0,0,5,2,2,0,1,0,4,3,1,27,9.0,0,28,3,10,4,0
unique_count_021.py,"import sys
from string import punctuation

def lower(s):
    return s.lower()

def main():
    nl =[]
    for line in sys.stdin:

        line = line.strip()
        line = lower(line)
        line = line.split()
        for word in line:
            for ch in word:
                if ch in punctuation:
                    word = word.replace(ch, """")
            nl.append(word)
    nl = set(nl)
    print(len(nl) - 1)

if __name__==""__main__"":
   main()
",True,"import sys
from string import punctuation

def lower(s):
    return s.lower()

def main():
    nl =[]
    for line in sys.stdin:

        line = line.strip()
        line = lower(line)
        line = line.split()
        for word in line:
            for ch in word:
                if ch in punctuation:
                    word = word.replace(ch, """")
            nl.append(word)
    nl = set(nl)
    print((len(nl) - 1))

if __name__==""__main__"":
   main()
",10,0,3,2,0,0,1,0,0,0,6,1,1,0,0,0,4,2,2,0,1,0,2,3,1,23,8.0,0,25,3,8,4,0
unique_count_021.py,"import sys
def unique(a):
    d = {}
    total = 0
    for word in a:
        if word not in d:
            d[word] = None
            total += 1
    return total

def main():
    lines = []
    for line in sys.stdin:
        i = 0
        a = line.split()
        while i<len(a):
            check = a[i]
            b = [char for char in check if char.isalnum()]
            a[i] = """".join(b)
            i += 1
        a = "" "".join(a)
        lines.append(a)
    lines = "" "".join(lines)
    n = unique(lines.lower().split())
    print(n)

if __name__==""__main__"":
    main()",True,"import sys
def unique(a):
    d = {}
    total = 0
    for word in a:
        if word not in d:
            d[word] = None
            total += 1
    return total

def main():
    lines = []
    for line in sys.stdin:
        i = 0
        a = line.split()
        while i<len(a):
            check = a[i]
            b = [char for char in check if char.isalnum()]
            a[i] = """".join(b)
            i += 1
        a = "" "".join(a)
        lines.append(a)
    lines = "" "".join(lines)
    n = unique(lines.lower().split())
    print(n)

if __name__==""__main__"":
    main()",10,1,3,3,0,0,1,0,0,0,14,4,2,0,0,0,4,2,2,0,2,0,3,4,2,28,11.5,0,40,9,13,2,0
unique_count_021.py,"import sys


def main():
    unique_words = []
    text = sys.stdin.read()
    tokens = text.strip().split()

    for word in tokens:
        s = ''
        word = word.lower()
        for c in word:
            if c.isalpha() or c.isdigit():
                s = s + c
        if s not in unique_words and s != '':
            unique_words.append(s)

    print(len(unique_words))


if __name__ == '__main__':
    main()
",True,"import sys


def main():
    unique_words = []
    text = sys.stdin.read()
    tokens = text.strip().split()

    for word in tokens:
        s = ''
        word = word.lower()
        for c in word:
            if c.isalpha() or c.isdigit():
                s = s + c
        if s not in unique_words and s != '':
            unique_words.append(s)

    print((len(unique_words)))


if __name__ == '__main__':
    main()
",10,0,2,3,0,0,0,0,0,0,8,1,2,2,0,0,3,1,1,0,1,0,3,2,1,22,15.0,0,24,3,8,6,0
unique_count_021.py,"#!/usr/bin/env python3

import sys


def main():
    text = sys.stdin.read().strip().casefold()
    for c in text:
        if not c.isalnum() and not c.isspace():
            text = text.replace(c, '')
    words = text.split()
    unique_words = []
    for word in words:
        if word not in unique_words:
            unique_words.append(word)
    print(len(unique_words))

if __name__ == '__main__':
    main()
",True,"#!/usr/bin/env python3

import sys


def main():
    text = sys.stdin.read().strip().casefold()
    for c in text:
        if not c.isalnum() and not c.isspace():
            text = text.replace(c, '')
    words = text.split()
    unique_words = []
    for word in words:
        if word not in unique_words:
            unique_words.append(word)
    print((len(unique_words)))

if __name__ == '__main__':
    main()
",10,0,2,3,0,0,0,0,0,0,5,1,1,3,0,0,3,1,1,0,1,0,3,2,1,19,11.0,0,20,2,7,4,0
unique_count_021.py,"import sys

def main():
    unique = []
    for line in sys.stdin:
        line = line.lower().split()
        for word in line:
             word = replace_punc(word)
             if word not in unique and word:
                 unique.append(word)
    print(count(unique))

def count(tokens):
    count = len(tokens)
    return count

def replace_punc(word):
    for ch in word:
        if not ch.isalnum():
            word = word.replace(ch, """")
    return word

if __name__ == ""__main__"":
    main()
",True,"import sys

def main():
    unique = []
    for line in sys.stdin:
        line = line.lower().split()
        for word in line:
             word = replace_punc(word)
             if word not in unique and word:
                 unique.append(word)
    print((count(unique)))

def count(tokens):
    count = len(tokens)
    return count

def replace_punc(word):
    for ch in word:
        if not ch.isalnum():
            word = word.replace(ch, """")
    return word

if __name__ == ""__main__"":
    main()
",10,0,3,3,0,0,2,0,0,0,6,0,1,2,0,0,4,3,3,0,1,0,3,3,1,24,5.666666666666668,0,24,2,7,4,0
unique_count_021.py,"import sys
import string

def uniquecount(l):
    return len(set(l))

def main():
    lines = []
    newlist = []
    for line in sys.stdin:
        for c in string.punctuation:
            line = line.replace(c,"""")
        line = line.lower().split()
        lines.append(line)
        newlist = sum(lines, [])
        unique = uniquecount(newlist)
    print(unique)

if __name__ == '__main__':
    main()
",True,"import sys
import string

def uniquecount(l):
    return len(set(l))

def main():
    lines = []
    newlist = []
    for line in sys.stdin:
        for c in string.punctuation:
            line = line.replace(c,"""")
        line = line.lower().split()
        lines.append(line)
        newlist = sum(lines, [])
        unique = uniquecount(newlist)
    print(unique)

if __name__ == '__main__':
    main()
",10,0,2,1,0,0,1,0,0,0,7,0,1,0,0,0,2,2,2,0,3,0,1,2,3,20,6.5,0,20,2,9,3,0
unique_count_021.py,"import sys
def main():
	text = []
	for lines in sys.stdin:
		lines = text.append(lines.strip().lower())
		all_words = punc_removal(text)
	print(get_unique_tokens(all_words))
def punc_removal(s):
	j =  "" "".join(s)
	for letter in j:
		if letter.isalnum() or letter.isspace():
			pass
		else:
			j = j.replace(letter,"""")
	return j
def get_unique_tokens(tab):
	unique_words = []
	a = tab.split()
	for word in a:
		if word not in unique_words:
			unique_words.append(word)
	return len(unique_words)

if __name__ == '__main__':
	main()",True,"import sys
def main():
	text = []
	for lines in sys.stdin:
		lines = text.append(lines.strip().lower())
		all_words = punc_removal(text)
	print((get_unique_tokens(all_words)))
def punc_removal(s):
	j =  "" "".join(s)
	for letter in j:
		if letter.isalnum() or letter.isspace():
			pass
		else:
			j = j.replace(letter,"""")
	return j
def get_unique_tokens(tab):
	unique_words = []
	a = tab.split()
	for word in a:
		if word not in unique_words:
			unique_words.append(word)
	return len(unique_words)

if __name__ == '__main__':
	main()",10,0,3,3,0,1,2,0,0,1,8,0,1,1,0,0,4,3,3,0,2,0,4,3,2,25,7.0,0,30,3,12,1,0
unique_count_021.py,"import sys

count = []
punctuation = "".,?!""

def main():
	for line in sys.stdin:
		a = line.strip().split()
		for w in a:
			if w[-1] in punctuation:
				w = w[:-1]
				if w.lower() not in count and w.lower().isalnum():
					count.append(w.lower())
			elif w.lower() not in count and w.lower().isalnum():
				count.append(w.lower())
	print(len(count)+1)

if __name__ == '__main__':
	main()
",True,"import sys

count = []
punctuation = "".,?!""

def main():
	for line in sys.stdin:
		a = line.strip().split()
		for w in a:
			if w[-1] in punctuation:
				w = w[:-1]
				if w.lower() not in count and w.lower().isalnum():
					count.append(w.lower())
			elif w.lower() not in count and w.lower().isalnum():
				count.append(w.lower())
	print((len(count)+1))

if __name__ == '__main__':
	main()
",10,0,2,3,1,0,0,0,0,0,5,3,1,2,0,0,5,1,1,2,1,0,4,2,1,19,11.0,0,24,5,7,3,0
unique_count_021.py,"#!/usr/bin/env python3

import sys


def unique_words(l):
    unique_words = []
    for word in l:
        if word not in unique_words:
            unique_words.append(word)
    return len(unique_words)

def main():
    text = sys.stdin.read().strip().casefold()
    for c in text:
        if not c.isalnum() and not c.isspace():
            text = text.replace(c, '')
    words = text.split()
    print(unique_words(words))

if __name__ == '__main__':
    main()
",True,"#!/usr/bin/env python3

import sys


def unique_words(l):
    unique_words = []
    for word in l:
        if word not in unique_words:
            unique_words.append(word)
    return len(unique_words)

def main():
    text = sys.stdin.read().strip().casefold()
    for c in text:
        if not c.isalnum() and not c.isspace():
            text = text.replace(c, '')
    words = text.split()
    print((unique_words(words)))

if __name__ == '__main__':
    main()
",9,0,2,3,0,0,1,0,0,0,5,1,1,3,0,0,3,2,2,0,1,0,3,2,1,22,6.5,0,17,2,7,5,0
unique_count_021.py,"import sys
import string

def check(line):
   new = """"
   for ch in line:
      if ch not in string.punctuation:
         new += ch
   if new:
      return new.lower()

def main():
   words = []
   total = 0
   for line in sys.stdin:
      line = line.split()
      for word in line:
         word = check(word)
         if word not in words and word:
            words.append(word)
   total += len(words)
   #return total
   print(total)


if __name__ == '__main__':
	main()",True,"import sys
import string

def check(line):
   new = """"
   for ch in line:
      if ch not in string.punctuation:
         new += ch
   if new:
      return new.lower()

def main():
   words = []
   total = 0
   for line in sys.stdin:
      line = line.split()
      for word in line:
         word = check(word)
         if word not in words and word:
            words.append(word)
   total += len(words)
   #return total
   print(total)


if __name__ == '__main__':
	main()",9,0,3,4,0,0,1,0,0,0,8,4,1,1,0,0,5,2,2,0,1,0,4,3,1,27,9.5,0,28,3,9,4,1
